solvent,SMILES,Property_0,Value_0,Property_1,Value_1,Property_2,Value_2,Property_3,Value_3,Property_4,Value_4,Property_5,Value_5,Property_6,Value_6,Property_7,Value_7,Property_8,Value_8,Property_9,Value_9,Property_10,Value_10,Property_11,Value_11
ester,CCCOC(C)=O,ET30,-0.5879669446510193,SP,-0.6240432524022164,n,-0.8317451352584667,fn,-0.6821845360577261,SA,-0.5896346870860926,beta,-0.13281750764035158,alpha,-0.5624739952482176,pi_star,,SB,0.4290888063875423,SdP,0.12657980256939758,delta,-0.5646041767032955,N_mol_cm3,-0.23369288456168275
alkane,CCCCCCCCCCC,pi_star,,delta,,SA,-0.5896346870860926,beta,,alpha,,N_mol_cm3,-1.0559629812977684,SP,-0.5309283648797353,n,,fn,,SdP,-1.5203850162022057,SB,-1.1464184000686986,ET30,
misc_N_compound,c1ccncc1,N_mol_cm3,0.526597054128969,alpha,-0.5624739952482176,SdP,0.7217263023759517,SB,0.5401822632530462,ET30,-0.17213814021480914,SA,-0.43935506065951624,fn,1.1098011146473812,delta,0.1804644388023902,SP,1.377926829331123,beta,0.6915670225411418,pi_star,1.0549560572623182,n,1.2414264018004675
alkane,C1CCCCCC1,SA,-0.5896346870860926,SP,-0.23994434137198342,beta,,delta,,SdP,-1.5203850162022057,pi_star,,N_mol_cm3,-0.3287291268980143,ET30,,n,,SB,-1.2474124517646115,fn,,alpha,
polyhydric_alcohol,C[C@H](O)CO,ET30,1.7129524398960105,pi_star,,SA,1.5734811478418997,delta,,SB,0.5974122258807303,beta,,n,-0.01543384254151203,SdP,1.0959025671058151,N_mol_cm3,0.7910457284561522,alpha,,fn,0.04314298922767353,SP,0.08595776495670017
carboxylic_acid,CCC(=O)O,fn,-0.6235858491675808,delta,1.1738892594766368,ET30,1.213957874572558,SdP,-0.24170392255842083,pi_star,-0.019500111964183393,alpha,2.0389198437524865,SA,2.179153581621738,SP,-0.6938794180440772,n,-0.766958524725375,SB,-0.14657728827916117,N_mol_cm3,0.7269995651425376,beta,0.038929269480792845
ester,CCCOC=O,SA,-0.5896346870860926,alpha,,SdP,0.34460376784506586,SP,-0.6589613352231467,fn,,ET30,,pi_star,,n,,N_mol_cm3,0.10099996888365852,beta,,SB,0.4324552747774061,delta,
polyhydric_alcohol,O,SB,-1.3315741615112056,delta,5.623604602080036,SdP,1.4170459754172726,SP,-0.49601028205880493,beta,0.1076279803292505,ET30,2.960438853204641,SA,4.246636927005546,n,-1.6253811142888381,alpha,2.155053497279303,N_mol_cm3,9.414551717844143,fn,-1.4118327018511563,pi_star,1.8700607373651819
ether,CC1CCCO1,N_mol_cm3,0.005963726547326972,SB,0.5502816684226375,SA,-0.5896346870860926,alpha,-0.5624739952482176,delta,,pi_star,,fn,-0.3335628550661213,ET30,-0.726576546129756,n,-0.4430254720599165,beta,0.038929269480792845,SP,-0.2748624241929138,SdP,0.7423501909831096
alkane,CCCCCCCCCCCCCCCC,SB,-1.126219589729516,SP,-0.2283049804316733,beta,,N_mol_cm3,-1.330741681965857,pi_star,,n,,alpha,,SA,-0.5896346870860926,ET30,,SdP,-1.5203850162022057,fn,,delta,
halohydrocarbon,Fc1c(F)c(F)c(F)c(F)c1F,n,-0.9127283984248294,SP,-1.1710932165967924,N_mol_cm3,-0.24402291090258865,SB,-1.015126132864012,SdP,-0.7779250263445242,ET30,-1.04537862953085,SA,-0.5896346870860926,alpha,-0.5624739952482176,beta,-1.4380930137610495,pi_star,-0.9457554302628914,fn,-0.7556354246942224,delta,-0.7715676810104304
ester,CC1COC(=O)O1,n,-0.20007568256082084,SdP,1.2550011363610323,N_mol_cm3,0.4150327696471884,beta,-0.13281750764035158,SB,-0.26777015031425655,fn,-0.1186109897916692,delta,1.339460062922345,ET30,0.5902146679182428,pi_star,0.9067552063345249,SA,-0.1069183112916353,SP,0.2605481790613521,alpha,-0.5624739952482176
misc_N_compound,Cn1ccnc1,alpha,,SA,-0.275413650012342,n,,fn,,SP,1.284811941808642,beta,,delta,,SB,0.7994003292725561,SdP,1.3050877229784157,N_mol_cm3,0.5720491700289535,ET30,,pi_star,
amine,CCN(CC)CC,delta,-1.1441019887632733,n,-0.5402053878595541,N_mol_cm3,-0.5435936747888507,fn,-0.4202457052584567,SB,1.5635886537716301,beta,0.9320125105107439,ET30,-1.3364587926361975,SP,-0.7404368618053176,alpha,-0.5624739952482176,SA,-0.5896346870860926,pi_star,-1.6497094721699097,SdP,-1.2021878776917707
monohydric_alcohol,CCCCCCCCO,n,-0.07050246149463746,N_mol_cm3,-0.7171381173160648,SP,-0.12355073196888214,delta,0.03558998578739521,SB,1.691514452586453,fn,-0.004924136424151329,beta,1.2755060647530332,SdP,-0.18277852653796986,SA,0.7719898069001595,alpha,1.2259842690647664,ET30,0.8812948310235902,pi_star,-0.6864039411392531
ketone,O=C1CCCCC1,N_mol_cm3,-0.03329037354811448,alpha,-0.5624739952482176,SdP,0.6745859855595909,fn,0.3002210994554112,pi_star,0.6474037172108867,SB,0.20690189265653383,SP,0.49333539786755465,SA,-0.5896346870860926,n,0.28096490064738555,delta,-0.10928446722759903,ET30,-0.2691648612499252,beta,0.31372411287462404
alkane,CC(C)CC(C)(C)C,alpha,,pi_star,,delta,,SP,-1.229290021298343,fn,,beta,,n,,SA,-0.5896346870860926,SB,-1.267611262103794,N_mol_cm3,-0.7853162911660416,SdP,-1.5203850162022057,ET30,
ester,O=C1CCCO1,ET30,0.35457834540439,N_mol_cm3,0.6794814439743716,n,0.04287410693827121,SA,-0.3300607868947335,fn,0.09418055522876843,delta,1.0497111568923565,SP,0.5980896463303458,pi_star,1.0549560572623182,SB,-0.07251498370215832,SdP,1.2638399457641,beta,0.17632669117770836,alpha,-0.5624739952482176
monohydric_alcohol,COC(=O)c1ccccc1O,SdP,0.6628009063555007,beta,,fn,1.4797559581473803,pi_star,,SA,0.4076755610175503,N_mol_cm3,-0.42996338503888915,n,1.6949326755321095,delta,,SP,1.3895661902714331,alpha,,ET30,0.5070489070310006,SB,-0.6885786990472269
ketone,CCCCC(=O)CCCC,delta,,SP,,SdP,,ET30,-0.5879669446510193,beta,,SB,,n,-0.2324689878273667,N_mol_cm3,-0.8431644386751129,alpha,,SA,,pi_star,,fn,-0.14723523315736273
alkane,CCCCCCCCCCCCCC,fn,,alpha,,delta,,N_mol_cm3,-1.241903455434069,SB,-1.2474124517646115,n,,SA,-0.5896346870860926,SdP,-1.5203850162022057,pi_star,,SP,-0.32141986795415434,ET30,,beta,
aromatic,CCCc1ccccc1,alpha,,SP,0.5049747588078648,n,0.9336900017682839,beta,,fn,0.8543432446101545,SB,-0.9309644231174179,pi_star,,ET30,,N_mol_cm3,-0.5539237011297564,SA,-0.5896346870860926,delta,,SdP,-0.9046146277884938
alkane,CCCCCCCCCCC,N_mol_cm3,-1.0559629812977684,alpha,,SB,-1.1464184000686986,ET30,,SP,-0.5309283648797353,n,,pi_star,,beta,,fn,,SdP,-1.5203850162022057,delta,,SA,-0.5896346870860926
monohydric_alcohol,CCC(C)O,N_mol_cm3,0.22496028497452564,alpha,1.0401704234218587,fn,-0.4521104290051717,SP,-0.7869943055665581,SA,0.41678341716461553,ET30,0.7426852295448534,n,-0.5758380236527542,pi_star,-0.6864039411392531,SdP,0.5596814633197116,delta,0.38742794310952505,SB,1.5736880589412214,beta,1.2411567093288043
amine,CCCCN,fn,-0.375419059987654,SB,1.7622102887735918,SdP,-0.6482891550995322,delta,-0.502515125411155,pi_star,-1.019855855726788,ET30,-0.5741059845031454,SA,-0.5896346870860926,alpha,-0.5624739952482176,N_mol_cm3,0.057613858251855,beta,0.9663618659349729,n,-0.4899957646964064,SP,-0.3912560335960151
amine,CNc1ccccc1,SA,,alpha,-0.16761957325703924,beta,0.1076279803292505,SP,,SB,,n,2.229422212430114,ET30,0.10508106274266431,N_mol_cm3,-0.1241946053480836,pi_star,0.8697049936025765,delta,,fn,1.9058791282517598,SdP,
alkane,CCCCCCCCCCCCC,N_mol_cm3,-1.1819893026568165,ET30,,n,,SP,-0.3912560335960151,SA,-0.5896346870860926,pi_star,,beta,,delta,,SdP,-1.5203850162022057,alpha,,SB,-1.2474124517646115,fn,
ester,CCOC(=O)c1ccccc1,SA,,beta,-0.09846815221612285,alpha,-0.5624739952482176,N_mol_cm3,-0.5890457906888354,fn,1.0295992252170885,delta,,SB,,ET30,-0.504801183763777,SP,,pi_star,0.57330329174699,SdP,,n,1.1442464860008301
monohydric_alcohol,OCc1ccccc1,ET30,1.2000969144246842,SP,1.5990746871970154,alpha,0.8311298470735881,beta,0.27937475745039514,n,1.7273259807986554,fn,1.5059498412273065,pi_star,1.4625083973137498,delta,0.6357841482780867,N_mol_cm3,-0.04568640515720105,SdP,0.8012755870035605,SA,1.272921894988747,SB,0.13620605646939493
carboxylic_acid,CCCCC(=O)O,pi_star,-0.16770096289197642,N_mol_cm3,-0.1324586264208081,SdP,-0.707214551119983,beta,0.038929269480792845,n,-0.4025338404767315,delta,0.8220513021545078,SP,-0.4261741164169442,SA,1.6964372058272805,ET30,1.879283961670494,fn,-0.297647530843128,alpha,2.20150695869003,SB,0.17660367714775993
misc_N_compound,CN(C)C(=O)N(C)C,delta,-0.3783370228268745,SP,0.6330077291512762,ET30,-0.11669429962331464,SB,0.6849404040171881,n,0.25828958696080234,pi_star,0.9067552063345249,beta,1.2411567093288043,SdP,1.0664398690955896,alpha,-0.5624739952482176,N_mol_cm3,-0.3122010847525653,fn,0.28077821716927986,SA,-0.5896346870860926
polyhydric_alcohol,OCC(O)CO,SB,-0.37549713878989704,pi_star,0.12870073896361006,fn,0.6307500983196436,SA,2.3840803449307053,delta,2.7054191913494345,SdP,1.1931294705395592,alpha,2.2479604201007573,beta,0.24502540202616618,N_mol_cm3,0.7931117337243332,SP,1.2149757761667812,n,0.668064898582605,ET30,2.114920284184347
alkane,CCCCCCCCC,fn,-0.34787497674896734,SP,-0.7404368618053176,beta,,delta,-1.0613165870404193,SdP,-1.5203850162022057,n,-0.4592221246931876,alpha,,SB,-1.2373130465950202,ET30,-1.488929354262808,pi_star,,N_mol_cm3,-0.8741545176978297,SA,-0.5896346870860926
ether,C1COCCO1,alpha,-0.5624739952482176,N_mol_cm3,0.38197668535629076,n,-0.18387902992754973,SB,0.06551022028225587,beta,-0.23586557391303836,SdP,-0.6011488382831714,ET30,-0.7958813468691244,fn,-0.10429886810882168,SA,-0.5896346870860926,pi_star,-0.13065075016002806,delta,-0.04719541593545844,SP,0.15579393059856092
ether,CC12CCC(CC1)C(C)(C)O2,alpha,-0.5624739952482176,SA,-0.5896346870860926,SP,0.1441545696582508,fn,0.41012739237840423,ET30,,delta,,beta,0.5885189562684551,SdP,-0.5098144744514724,n,0.4089184564502382,N_mol_cm3,-0.7935803122387661,pi_star,,SB,1.0653513320717933
misc_N_compound,C[N+](=O)[O-],SdP,1.2903563739733028,delta,1.0497111568923565,n,-0.8803350931582836,fn,-0.726201061233274,SB,-0.6212493312499517,SA,-0.23442829735054854,SP,-0.15846881478981253,ET30,0.6317975483618634,pi_star,0.9808556317984216,N_mol_cm3,1.8261143678148926,alpha,-0.05148591973022214,beta,-1.300695592064134
amine,CN1CCCCC1,SB,1.3986317026683057,delta,,SP,-0.18174753667043278,alpha,,n,,beta,,fn,,SA,-0.5896346870860926,N_mol_cm3,-0.3245971163616522,SdP,-1.1786177192835905,ET30,,pi_star,
monohydric_alcohol,CCCCCCCCO,beta,1.2755060647530332,alpha,1.2259842690647664,SP,-0.12355073196888214,SA,0.7719898069001595,delta,0.03558998578739521,n,-0.07050246149463746,ET30,0.8812948310235902,pi_star,-0.6864039411392531,SB,1.691514452586453,N_mol_cm3,-0.7171381173160648,SdP,-0.18277852653796986,fn,-0.004924136424151329
ketone,CC(=O)CC(C)=O,alpha,,ET30,1.0337653926502006,pi_star,,beta,,SP,,SdP,,fn,0.28212841732803884,SA,,delta,,n,0.2599092522241295,SB,,N_mol_cm3,-0.010564315598122024
alkane,C1CCC2CCCCC2C1,delta,,ET30,,SA,-0.5896346870860926,N_mol_cm3,-0.7336661594615138,pi_star,,fn,,beta,,SB,-1.2272136414254289,n,,SP,0.23726945718073184,alpha,,SdP,-1.5203850162022057
monohydric_alcohol,C=CCO,n,-0.34584555626027896,pi_star,-0.24180138835587317,fn,-0.24715004490553727,delta,0.6978731995702273,beta,1.584650263571093,SB,0.5536481368125012,ET30,1.4080113166427892,N_mol_cm3,0.9893822342015397,alpha,1.3885713840023102,SA,1.300245463429943,SP,-0.21666561949136315,SdP,0.9515353468557102
alkane,[2H]C1CCC[C@@H]2CCCC[C@H]12,ET30,-1.4612074339670607,beta,-1.231996881215676,SA,-0.5896346870860926,SB,-1.2272136414254289,SP,0.34202370564352297,fn,0.704741067019644,alpha,-0.5624739952482176,SdP,-1.5203850162022057,n,0.7555268228022799,pi_star,-1.7608601103657548,delta,-0.6059968775647224,N_mol_cm3,-0.688214043561529
alkane,CCCCC,fn,-1.0364770577161204,pi_star,-2.4648141522727727,n,-1.2204647984570132,alpha,-0.5624739952482176,SdP,-1.5203850162022057,beta,-1.5067917246095073,SA,-0.5896346870860926,N_mol_cm3,-0.2295608740253207,SP,-1.5202740448060963,delta,-1.2889764417782676,ET30,-1.488929354262808,SB,-1.169983678797745
monohydric_alcohol,CCCCCCCCO,fn,-0.004924136424151329,SA,0.7719898069001595,SdP,-0.18277852653796986,alpha,1.2259842690647664,n,-0.07050246149463746,SP,-0.12355073196888214,ET30,0.8812948310235902,pi_star,-0.6864039411392531,SB,1.691514452586453,N_mol_cm3,-0.7171381173160648,delta,0.03558998578739521,beta,1.2755060647530332
