solvent,SMILES,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
alkane,CCCC.CCC(C)C,ET30,-1.5027903144106818,alpha,-0.5624739952482177,beta,-1.4724423691852784,pi_star,-2.4648141522727727,SA,-0.5896346870860926,SB,-1.2373130465950202,SP,-1.6599463760898177,SdP,-1.5203850162022057,N_mol_cm3,-0.25722511451786295,n,-1.285251408990105,fn,-1.0961559047332747,delta,-1.413154544362549
alkane,CCCC.CCC(C)C,ET30,-1.5027903144106818,beta,-1.4724423691852784,alpha,-0.5624739952482177,pi_star,-2.4648141522727727,SA,-0.5896346870860926,SB,-1.2373130465950202,SP,-1.6599463760898177,SdP,-1.5203850162022057,N_mol_cm3,-0.25722511451786295,n,-1.285251408990105,fn,-1.0961559047332747,delta,-1.413154544362549
alkane,CCCC.CCC(C)C,alpha,-0.5624739952482177,ET30,-1.5027903144106818,beta,-1.4724423691852784,pi_star,-2.4648141522727727,SA,-0.5896346870860926,SB,-1.2373130465950202,SP,-1.6599463760898177,SdP,-1.5203850162022057,N_mol_cm3,-0.25722511451786295,n,-1.285251408990105,fn,-1.0961559047332747,delta,-1.413154544362549
alkane,CCCC.CCC(C)C,alpha,-0.5624739952482177,beta,-1.4724423691852784,ET30,-1.5027903144106818,pi_star,-2.4648141522727727,SA,-0.5896346870860926,SB,-1.2373130465950202,SP,-1.6599463760898177,SdP,-1.5203850162022057,N_mol_cm3,-0.25722511451786295,n,-1.285251408990105,fn,-1.0961559047332747,delta,-1.413154544362549
alkane,CCCC.CCC(C)C,beta,-1.4724423691852784,ET30,-1.5027903144106818,alpha,-0.5624739952482177,pi_star,-2.4648141522727727,SA,-0.5896346870860926,SB,-1.2373130465950202,SP,-1.6599463760898177,SdP,-1.5203850162022057,N_mol_cm3,-0.25722511451786295,n,-1.285251408990105,fn,-1.0961559047332747,delta,-1.413154544362549
alkane,CCCC.CCC(C)C,beta,-1.4724423691852784,alpha,-0.5624739952482177,ET30,-1.5027903144106818,pi_star,-2.4648141522727727,SA,-0.5896346870860926,SB,-1.2373130465950202,SP,-1.6599463760898177,SdP,-1.5203850162022057,N_mol_cm3,-0.25722511451786295,n,-1.285251408990105,fn,-1.0961559047332747,delta,-1.413154544362549
alkane,C(CC)C.CCC(C)C,ET30,-1.5027903144106818,alpha,-0.5624739952482177,beta,-1.4724423691852784,pi_star,-2.4648141522727727,SA,-0.5896346870860926,SB,-1.2373130465950202,SP,-1.6599463760898177,SdP,-1.5203850162022057,N_mol_cm3,-0.25722511451786295,n,-1.285251408990105,fn,-1.0961559047332747,delta,-1.413154544362549
alkane,C(CC)C.CCC(C)C,ET30,-1.5027903144106818,beta,-1.4724423691852784,alpha,-0.5624739952482177,pi_star,-2.4648141522727727,SA,-0.5896346870860926,SB,-1.2373130465950202,SP,-1.6599463760898177,SdP,-1.5203850162022057,N_mol_cm3,-0.25722511451786295,n,-1.285251408990105,fn,-1.0961559047332747,delta,-1.413154544362549
alkane,C(CC)C.CCC(C)C,alpha,-0.5624739952482177,ET30,-1.5027903144106818,beta,-1.4724423691852784,pi_star,-2.4648141522727727,SA,-0.5896346870860926,SB,-1.2373130465950202,SP,-1.6599463760898177,SdP,-1.5203850162022057,N_mol_cm3,-0.25722511451786295,n,-1.285251408990105,fn,-1.0961559047332747,delta,-1.413154544362549
alkane,C(CC)C.CCC(C)C,alpha,-0.5624739952482177,beta,-1.4724423691852784,ET30,-1.5027903144106818,pi_star,-2.4648141522727727,SA,-0.5896346870860926,SB,-1.2373130465950202,SP,-1.6599463760898177,SdP,-1.5203850162022057,N_mol_cm3,-0.25722511451786295,n,-1.285251408990105,fn,-1.0961559047332747,delta,-1.413154544362549
