solvent,SMILES,Property_0,Value_0,Property_1,Value_1,Property_2,Value_2,Property_3,Value_3,Property_4,Value_4,Property_5,Value_5,Property_6,Value_6,Property_7,Value_7,Property_8,Value_8,Property_9,Value_9,Property_10,Value_10,Property_11,Value_11
alkane,C1CCCCCC1,beta,,SB,-1.2540447367395788,alpha,,fn,,delta,,ET30,,SA,-0.5946880464923098,N_mol_cm3,-0.3550364960426322,SdP,-1.4931781014551933,n,,pi_star,,SP,-0.188908076923115
misc_N_compound,CN1CCCC1=O,SA,-0.4800654824374065,N_mol_cm3,0.266525009442322,delta,0.7244300895233878,pi_star,1.3845692575267123,fn,0.5863687021128371,SP,1.0732051656832304,SdP,1.3529442566592633,SB,0.5976855002276967,ET30,0.0710560011313938,n,0.6191200232837415,beta,1.056784057093709,alpha,-0.5661661976383421
alkane,C1CCCCCCC1,SP,-0.0036437477331927536,pi_star,,alpha,,delta,,beta,,n,,fn,,SA,-0.5946880464923098,SdP,-1.4931781014551933,ET30,,SB,-1.1948419938170016,N_mol_cm3,-0.5757779652802797
alkane,[2H]C1CCC[C@@H]2CCCC[C@H]12,SA,-0.5946880464923098,alpha,-0.5661661976383421,pi_star,-1.7923001867128017,n,0.7803154910612975,SdP,-1.4931781014551933,SP,0.390042951795392,SB,-1.2343104890987198,beta,-1.2394944837601116,fn,0.7209802452759156,N_mol_cm3,-0.8604182808761933,delta,-0.660921822113516,ET30,-1.4921760237592705
aromatic,Cc1ccccc1C,pi_star,,delta,-0.4946795927170881,n,1.118825973394163,beta,,ET30,,N_mol_cm3,-0.34341852397749284,fn,1.0002726990040367,SP,0.8300457336214574,alpha,,SdP,-0.703742702854103,SA,-0.5946880464923098,SB,-0.9021173204775922
polyhydric_alcohol,CC(O)CCO,n,0.13553361995107382,SdP,1.09771326312658,beta,,fn,0.17696942221725104,N_mol_cm3,0.5046934367776782,alpha,,pi_star,,SP,0.22793666375421007,delta,,ET30,1.5774432251169417,SB,0.5878183764072671,SA,1.454190285989086
alkane,CCCCCCCCCCCCCCCC,delta,,beta,,alpha,,n,,N_mol_cm3,-1.7637156089407766,SdP,-1.4931781014551933,pi_star,,fn,,SP,-0.17732905634874485,SA,-0.5946880464923098,ET30,,SB,-1.1356392508944242
aromatic,c1ccccc1,alpha,-0.5661661976383421,delta,-0.38385143978613523,SA,-0.5946880464923098,n,1.118825973394163,ET30,-1.0516288167446293,SP,0.8532037747701976,beta,-1.1729356854744937,SB,-1.010655682502317,SdP,-0.6918714938525828,N_mol_cm3,0.5221203948753875,pi_star,0.0902891135772806,fn,1.0002726990040367
misc_N_compound,CN(C)C(=O)N(C)C,n,0.28544540498420207,N_mol_cm3,-0.33180055191235347,delta,-0.3561444015533977,pi_star,1.0315837637223217,SB,0.6338649542359384,alpha,-0.5661661976383421,SdP,1.1125522743784804,SA,-0.5946880464923098,fn,0.30495638156324967,beta,1.156622254522136,SP,0.6795184661546455,ET30,-0.1136896018102307
amide,CN(C)P(=O)(N(C)C)N(C)C,SB,1.2554937549229988,fn,0.4223440068019189,N_mol_cm3,-1.0985867082115497,n,0.42407350727289905,SP,0.28583176662606075,ET30,-0.1136896018102307,delta,-0.5223866309498256,beta,1.988607233092361,SA,-0.5946880464923098,pi_star,1.188466205413162,alpha,-0.5661661976383421,SdP,1.771404373962849
